Start_Time,End_Time,Facility_Code,Participant_Code,Status,Reason,Outage_MW,Recovery_Time_Minutes,Description
9/09/2017 15:30:00,9/09/2017 16:00:00,TIWEST_COG1,TRMOS,Approved,Forced,30.63,,System Management IT Issues
8/09/2017 05:00:00,8/09/2017 05:30:00,TIWEST_COG1,TRMOS,Approved,Forced,35.39,,Deviation from dispatch
7/09/2017 09:00:00,7/09/2017 09:30:00,TIWEST_COG1,TRMOS,Approved,Forced,30.33,,Deviation from dispatch
25/09/2017 08:00:00,26/09/2017 15:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),118.609,4,Exh Insp
26/09/2017 08:00:00,30/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
26/09/2017 08:00:00,30/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
26/09/2017 08:00:00,30/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
26/09/2017 08:00:00,30/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
19/09/2017 11:00:00,22/09/2017 07:30:00,BW1_GREENWATERS_G2,GW,Approved,Scheduled (Planned),0,2,Governor testing
19/09/2017 11:00:00,19/09/2017 11:00:00,BW1_GREENWATERS_G2,GW,Approved,Scheduled (Planned),342,2,Governor edits and testing
18/09/2017 11:00:00,22/09/2017 07:30:00,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Scheduled (Planned),0,2,Governor testing
18/09/2017 11:00:00,18/09/2017 11:00:00,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Scheduled (Planned),342,2,Governor edits and testing
8/12/2017 22:00:00,15/12/2017 21:30:00,PMC_AG,PMC,Cancelled By Market Participant,Scheduled (Planned),335,39,Major Annual Outage (B Inspection)
1/12/2017 00:00:00,2/12/2017 13:30:00,PMC_AG,PMC,Approved,Scheduled (Planned),335,39,Major Annual Outage (B Inspection)
24/11/2017 22:00:00,30/11/2017 23:30:00,PMC_AG,PMC,Approved,Scheduled (Planned),335,39,Major Annual Outage (B Inspection)
12/09/2017 22:30:00,13/09/2017 06:00:00,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,0,Enable signal was removed by Western Power. Site cannot operate without enable signal. Will request conversion to consequential.
12/09/2017 10:30:00,12/09/2017 15:00:00,KORL_GT3,KORL,Rejected,Opportunistic Maintenance (Planned),100.1,0,ODOM
4/09/2017 09:30:00,4/09/2017 09:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,40.796,,Unit slow to ramp up.
9/10/2017 14:30:00,9/10/2017 17:00:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
12/10/2017 07:00:00,13/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
23/10/2017 07:00:00,23/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
11/10/2017 07:00:00,11/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
10/10/2017 07:00:00,10/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
9/10/2017 07:00:00,9/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
9/10/2017 07:00:00,9/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),0,4,DBP Outage- Unit available on Diesel only
19/10/2017 07:00:00,19/10/2017 14:30:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),127,4,DBP Outage
